title,,
A Star is Born,71,111
Aquaman,43,61
Joker,45,22
Avenger's Endgame,223,493
Vice,45,20
Spiderman into the Spider-Verse,25,29
Mary Poppins Returns,4,104
Shazam,52,105
Once Upon a Deadpool,34,185
Mortal Engines,410,474
